COUNTRY,CITY,ZONE,NW_AGO,ORDERS
MX,Torreon,Tor_norte,8,4679.0
MX,Queretaro,QRO_DELEG_FELIZ_OZORES,8,4676.0
AR,Buenos Aires,Bs As Sur Adrogue,8,4670.0
PE,Lima,San Juan de Lurigancho,8,4644.0
MX,Saltillo,SAL_Saltillo 2000,8,4617.0
BR,Rio De Janeiro,Ipanema,8,4524.0
MX,Cuernavaca,CVA-Centro,8,4512.0
CO,Neiva,Neiva Centro,8,4505.0
AR,Rosario,Rosario Shopping,8,4480.0
CL,Viña Del Mar,Plan Viña,8,4474.0
MX,Cancun,Cun_Los Héroes-Puerto,8,4445.0
CO,Cali,Alfaguara Jamundi,8,4413.0
CO,Pereira,Los molinos,8,4398.0
MX,Reynosa,Rey_florida,8,4388.0
MX,Monterrey,Carretera Nacional,8,4306.0
MX,Leon,LEO_Centro,8,4304.0
CO,Pasto,Pasto Villas del norte,8,4298.0
MX,Torreon,Tor_gomez_palacio,8,4265.0
CO,Soacha,Soacha,8,4251.0
MX,Xalapa,Xalapa Centro,8,4192.0
EC,Guayaquil,Samborondon,8,4172.0
CO,Manizales,Zona Villapilar,8,4144.0
MX,Toluca,Tol_Centro,8,4124.0
MX,Hermosillo,Hmo_Progreso,8,4097.0
MX,Puebla,San francisco,8,4008.0
EC,Guayaquil,Alborada,8,4002.0
CO,Ibague,Centro Ricaurte,8,3967.0
MX,Puebla,Cholula,8,3949.0
MX,Durango,Dgo_centro,8,3914.0
MX,Zamora,ZAM_Zamora_1,8,3910.0
PE,Piura,Residencial,8,3857.0
CO,Santa Marta,Zazue,8,3840.0
MX,Mazatlan,Maz_1,8,3772.0
PE,Lima,Huayna Capac,8,3769.0
CO,Medellin,Manrique_central,8,3763.0
BR,Rio De Janeiro,Copacabana,8,3758.0
MX,Aguascalientes,AGS_Trojes,8,3738.0
CO,Pereira,Cerritos,8,3714.0
MX,Other,Other,8,3698.0
PE,Lima,Callao,8,3661.0
BR,Curitiba,PR - CWB - Batel/Centro,8,3657.0
BR,Grande São Paulo,SP - BAR - Barueri,8,3636.0
MX,Ciudad De Mexico,Las Americas,8,3626.0
PE,Arequipa,Centro Historico Arequipa,8,3605.0
CO,Bogota,Tunjuelito,8,3592.0
MX,Queretaro,QRO_JURICA_JURIQUILLA,8,3541.0
MX,Pachuca,PCH Centro-Prepa 3,8,3483.0
AR,Cordoba,Cordoba Cofico,8,3460.0
MX,Mexicali,MXL_Centro_Norte,8,3456.0
BR,Grande São Paulo,SP - SP - Santana/Tucuruvi,8,3455.0
PE,Lima,Campo Fe Norte,8,3452.0
AR,Buenos Aires,Avellaneda - Sarandi,8,3421.0
CL,Other,Other,8,3419.0
BR,Rio De Janeiro,Tijuca,8,3410.0
CO,Santa Marta,Rodadero,8,3400.0
PE,Arequipa,Bustamante y Rivero,8,3392.0
MX,Guadalajara,Las Pintas-Aeropuerto,8,3372.0
MX,Campeche,CAMP Centro,8,3366.0
